year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1970,640 SHEPPARD AVE E,19,128,87,3,3,3,2,1970,88.4402489626556
1958,688 SHEPPARD AVE E,4,35,94,2,0,3,3,1950,86.53728070175438
1969,1650 SHEPPARD AVE E,15,149,92,1,3,3,3,1960,87.9720394736842
2010,1751 SHEPPARD AVE E,7,74,96,2,3,3,3,2010,96
1968,3735 SHEPPARD AVE E,4,52,86,2,2,3,3,1960,87.9720394736842
1969,3747 SHEPPARD AVE E,4,37,70,2,3,3,2,1960,87.9720394736842
1975,3825 SHEPPARD AVE E,13,300,94,3,3,3,3,1970,88.4402489626556
1966,555 SHEPPARD AVE W,12,112,88,1,3,3,3,1960,87.9720394736842
1961,569 SHEPPARD AVE W,13,144,94,2,3,3,3,1960,87.9720394736842
1950,1042 SHEPPARD AVE W,4,16,81,1,0,3,2,1950,86.53728070175438
1960,1395 SHEPPARD AVE W,3,40,93,3,3,3,3,1960,87.9720394736842
1967,2020 SHEPPARD AVE W,15,204,93,2,3,3,2,1960,87.9720394736842
1973,155 SHERBOURNE ST,16,301,92,2,3,3,3,1970,88.4402489626556
1978,200 SHERBOURNE ST,7,174,83,2,3,3,2,1970,88.4402489626556
1988,223 SHERBOURNE ST,6,60,86,1,3,2,1,1980,89.2235294117647
1975,251 SHERBOURNE ST,7,200,92,2,3,3,3,1970,88.4402489626556
1955,256 SHERBOURNE ST,4,23,97,3,0,3,3,1950,86.53728070175438
1838,262 SHERBOURNE ST,3,12,89,0,0,3,3,1830,89
1931,317 SHERBOURNE ST,4,38,87,0,0,3,2,1930,84.36363636363636
1960,321 SHERBOURNE ST,7,67,100,3,3,3,3,1960,87.9720394736842
1934,433 SHERBOURNE ST,4,48,100,0,0,3,3,1930,84.36363636363636
1977,545 SHERBOURNE ST,30,300,91,2,3,3,3,1970,88.4402489626556
1978,565 SHERBOURNE ST,30,514,82,1,3,3,2,1970,88.4402489626556
1950,4 SHERBOURNE ST N,4,34,87,2,3,2,2,1950,86.53728070175438
1930,11 SHERWOOD AVE,3,23,91,2,0,2,3,1930,84.36363636363636
1930,21 SHERWOOD AVE,3,26,88,1,0,3,3,1930,84.36363636363636
1930,25 SHERWOOD AVE,3,27,85,1,0,3,2,1930,84.36363636363636
1940,27 SHERWOOD AVE,3,17,81,2,0,2,3,1940,83.27777777777777
1965,172 SHERWOOD AVE,3,18,91,2,3,3,3,1960,87.9720394736842
1969,35 SHOREHAM DR,11,323,94,3,3,3,2,1960,87.9720394736842
1964,275 SHUTER ST,16,299,93,3,3,3,2,1960,87.9720394736842
1964,285 SHUTER ST,15,300,80,2,3,3,2,1960,87.9720394736842
1978,75 SILVER SPRINGS BLVD,9,153,84,3,3,3,2,1970,88.4402489626556
1952,104 SIXTEENTH ST,3,12,85,2,0,3,2,1950,86.53728070175438
2019,55 SMOOTH ROSE CRT,27,301,92,3,3,3,3,2010,96
1984,29 SOUTH STATION ST,13,128,98,3,3,N/A,3,1980,89.2235294117647
1959,710 SPADINA AVE,7,62,85,2,3,3,3,1950,86.53728070175438
1905,41 SPADINA RD,4,24,77,2,3,2,1,1900,81.1875
2007,50 SPADINA RD,8,55,91,1,2,3,3,2000,91.13793103448276
1965,66 SPADINA RD,11,75,87,1,3,3,3,1960,87.9720394736842
1969,100 SPADINA RD,23,216,84,3,3,3,3,1960,87.9720394736842
1931,404 SPADINA RD,4,31,80,0,3,3,3,1930,84.36363636363636
1935,448 SPADINA RD,4,32,85,2,3,3,2,1930,84.36363636363636
