year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1968,25 WARRENDER AVE,13,126,95,2,3,3,3,1960,87.9720394736842
1968,35 WARRENDER AVE,7,108,94,2,3,3,3,1960,87.9720394736842
1971,41 WARRENDER AVE,7,105,94,2,3,3,3,1970,88.4402489626556
1971,53 WARRENDER AVE,13,128,94,2,3,3,3,1970,88.4402489626556
1957,8 WASDALE CRES,3,10,80,3,0,2,2,1950,86.53728070175438
1956,10 WASDALE CRES,3,10,98,2,0,3,3,1950,86.53728070175438
1950,24 WASDALE CRES,3,11,87,3,0,2,3,1950,86.53728070175438
1975,28 WASDALE CRES,3,11,97,3,0,3,3,1970,88.4402489626556
1957,32 WASDALE CRES,3,10,67,3,0,2,3,1950,86.53728070175438
1960,33 WASDALE CRES,3,11,87,2,0,3,3,1960,87.9720394736842
1965,34 WASDALE CRES,3,11,81,3,0,2,2,1960,87.9720394736842
1960,41 WASDALE CRES,3,11,76,1,0,3,1,1960,87.9720394736842
1955,45 WASDALE CRES,3,25,84,2,0,2,2,1950,86.53728070175438
1960,60 WASDALE CRES,3,11,90,3,0,3,3,1960,87.9720394736842
1956,64 WASDALE CRES,3,15,69,2,0,2,2,1950,86.53728070175438
1956,65 WASDALE CRES,3,11,70,0,0,2,2,1950,86.53728070175438
1956,67 WASDALE CRES,3,11,80,3,0,2,2,1950,86.53728070175438
1963,58 WATERTON RD,6,47,87,2,3,3,3,1960,87.9720394736842
1979,25 WELLESLEY ST E,9,47,95,3,2,2,3,1970,88.4402489626556
1929,64 WELLESLEY ST E,5,60,68,1,3,3,2,1920,83.97142857142858
1926,77 WELLESLEY ST E,4,30,89,0,3,3,3,1920,83.97142857142858
1963,80 WELLESLEY ST E,12,76,94,2,3,3,3,1960,87.9720394736842
1960,88 WELLESLEY ST E,8,71,91,1,3,3,3,1960,87.9720394736842
1960,91 WELLESLEY ST E,7,61,93,2,3,3,3,1960,87.9720394736842
1968,100 WELLESLEY ST E,28,427,90,2,3,3,2,1960,87.9720394736842
1928,138 WELLESLEY ST E,3,26,96,0,0,3,3,1920,83.97142857142858
1928,140 WELLESLEY ST E,3,32,99,3,0,3,3,1920,83.97142857142858
1966,155 WELLESLEY ST E,18,118,91,2,3,3,3,1960,87.9720394736842
1970,200 WELLESLEY ST E,29,719,81,2,3,3,2,1970,88.4402489626556
1923,214 WELLESLEY ST E,3,38,98,0,0,3,3,1920,83.97142857142858
1968,260 WELLESLEY ST E,32,565,96,0,3,3,3,1960,87.9720394736842
1969,280 WELLESLEY ST E,32,571,88,0,3,3,3,1960,87.9720394736842
1960,21 WELSFORD GDNS,15,154,95,2,3,3,3,1960,87.9720394736842
1965,103 WEST LODGE AVE,18,371,82,3,3,2,2,1960,87.9720394736842
1952,345 WESTMOUNT AVE,3,29,71,2,0,2,3,1950,86.53728070175438
1950,370 WESTMOUNT AVE,3,29,75,2,0,2,3,1950,86.53728070175438
1956,870 WESTON RD,3,11,81,3,0,3,2,1950,86.53728070175438
1956,872 WESTON RD,3,12,85,3,0,3,3,1950,86.53728070175438
1958,1197 WESTON RD,3,15,78,2,0,2,3,1950,86.53728070175438
1954,1240 WESTON RD,3,22,85,2,0,3,3,1950,86.53728070175438
1995,1296 WESTON RD,5,24,90,3,1,3,3,1990,88.76712328767124
1960,1321 WESTON RD,3,10,85,2,0,3,2,1960,87.9720394736842
1951,1693 WESTON RD,3,12,76,2,0,1,1,1950,86.53728070175438
1967,1765 WESTON RD,25,246,82,2,3,3,1,1960,87.9720394736842
1967,1775 WESTON RD,25,245,73,2,3,2,1,1960,87.9720394736842
1973,1901 WESTON RD,17,391,89,2,3,3,1,1970,88.4402489626556
1970,1906-1930 WESTON RD,12,112,88,2,3,3,3,1970,88.4402489626556
1959,2202 WESTON RD,6,97,93,2,0,3,3,1950,86.53728070175438
1960,2292 WESTON RD,8,65,92,3,3,3,3,1960,87.9720394736842
1984,3101 WESTON RD,18,176,75,1,3,2,2,1980,89.2235294117647
1961,3286 WESTON RD,4,55,89,1,3,3,3,1960,87.9720394736842
1960,3328 WESTON RD,4,93,83,3,3,2,3,1960,87.9720394736842
1972,3400 WESTON RD,27,263,75,2,2,2,2,1970,88.4402489626556
1977,111 WHITBURN CRES,3,46,92,3,0,2,3,1970,88.4402489626556
1968,35 WIDDICOMBE HILL,11,121,82,2,3,2,3,1960,87.9720394736842
1974,73 WIDDICOMBE HILL BLVD,17,228,97,2,3,3,3,1970,88.4402489626556
1920,84 WILLOW AVE,3,18,76,0,0,3,1,1920,83.97142857142858
1958,414 WILLOWDALE AVE,3,65,97,2,3,3,3,1950,86.53728070175438
1958,15 WILMINGTON AVE,3,24,78,2,0,3,3,1950,86.53728070175438
1965,20 WILMINGTON AVE,4,13,85,2,0,2,1,1960,87.9720394736842
1956,161 WILSON AVE,4,56,95,2,3,2,3,1950,86.53728070175438
1950,166 WILSON AVE,4,60,91,2,3,2,3,1950,86.53728070175438
1955,199 WILSON AVE,4,46,89,1,0,3,3,1950,86.53728070175438
1960,211 WILSON AVE,3,26,90,2,0,2,3,1960,87.9720394736842
1952,390-398 WILSON AVE,3,40,88,2,0,3,3,1950,86.53728070175438
1952,400-406 WILSON AVE,3,33,87,2,0,2,3,1950,86.53728070175438
1950,408-414 WILSON AVE,3,32,85,2,0,2,2,1950,86.53728070175438
1960,415 WILSON AVE,3,10,75,2,0,2,3,1960,87.9720394736842
1958,417 WILSON AVE,3,10,74,2,0,2,2,1950,86.53728070175438
1953,827 WILSON AVE,3,11,79,3,0,2,2,1950,86.53728070175438
1960,835 WILSON AVE,3,12,75,2,0,2,3,1960,87.9720394736842
1960,921 WILSON AVE,4,44,92,3,0,3,3,1960,87.9720394736842
1970,1154 WILSON AVE,15,229,91,2,3,2,3,1970,88.4402489626556
1970,1265 WILSON AVE,4,61,92,3,3,2,3,1970,88.4402489626556
1968,1277 WILSON AVE,4,80,83,3,3,2,2,1960,87.9720394736842
1960,1305 WILSON AVE,8,86,84,2,3,3,2,1960,87.9720394736842
1960,1307 WILSON AVE,8,81,87,1,3,3,2,1960,87.9720394736842
1960,1309 WILSON AVE,7,84,87,2,3,3,2,1960,87.9720394736842
1960,1391 WILSON AVE,4,36,91,2,0,3,3,1960,87.9720394736842
1960,1393 WILSON AVE,4,82,91,2,3,3,3,1960,87.9720394736842
1958,1395 WILSON AVE,4,35,92,2,0,3,3,1950,86.53728070175438
1958,1477 WILSON AVE,4,42,80,1,3,2,1,1950,86.53728070175438
1971,1491 WILSON AVE,4,40,94,1,3,3,3,1970,88.4402489626556
1955,1497 WILSON AVE,4,42,93,3,0,2,3,1950,86.53728070175438
1958,1505 WILSON AVE,4,55,75,2,0,2,3,1950,86.53728070175438
1958,1515 WILSON AVE,4,55,84,3,3,3,3,1950,86.53728070175438
1958,1525 WILSON AVE,4,21,80,2,0,2,2,1950,86.53728070175438
1960,1533 WILSON AVE,4,42,91,3,0,2,3,1960,87.9720394736842
1950,1738 WILSON AVE,3,10,80,2,0,2,2,1950,86.53728070175438
1950,1744 WILSON AVE,3,10,84,2,0,2,2,1950,86.53728070175438
1954,1770 WILSON AVE,3,31,77,1,0,2,2,1950,86.53728070175438
1954,1780 WILSON AVE,3,31,79,1,0,1,3,1950,86.53728070175438
1922,81 WILSON PARK RD,3,16,64,1,0,1,2,1920,83.97142857142858
1962,65 WINDERMERE AVE,6,92,92,2,3,3,3,1960,87.9720394736842
1950,1 WINGREEN CRT,3,11,88,3,0,3,3,1950,86.53728070175438
1965,2 WINGREEN CRT,3,11,91,3,0,3,3,1960,87.9720394736842
1950,4 WINGREEN CRT,3,11,92,3,0,3,3,1950,86.53728070175438
1956,5 WINGREEN CRT,3,22,91,2,0,3,3,1950,86.53728070175438
1965,6 WINGREEN CRT,3,11,90,2,0,3,3,1960,87.9720394736842
1965,8 WINGREEN CRT,3,11,93,3,0,3,3,1960,87.9720394736842
1965,9 WINGREEN CRT,3,11,94,3,0,3,3,1960,87.9720394736842
1960,10 WINGREEN CRT,3,11,86,3,0,3,2,1960,87.9720394736842
1950,11 WINGREEN CRT,3,11,85,3,0,3,3,1950,86.53728070175438
1971,300 WINNETT AVE,4,35,89,2,0,3,3,1970,88.4402489626556
1955,440 WINONA DR,6,130,92,3,3,3,3,1950,86.53728070175438
1960,450 WINONA DR,6,124,94,2,3,3,3,1960,87.9720394736842
1958,460 WINONA DR,5,55,80,2,3,3,2,1950,86.53728070175438
1949,36 WOOD GLEN RD,4,15,87,0,0,2,3,1940,83.27777777777777
1979,25 WOOD ST,26,284,95,2,3,3,3,1970,88.4402489626556
1960,419 WOODBINE AVE,3,11,87,2,0,3,2,1960,87.9720394736842
1966,592 WOODBINE AVE,5,36,80,2,3,2,3,1960,87.9720394736842
1956,619 WOODBINE AVE,4,50,91,0,0,3,3,1950,86.53728070175438
1977,650 WOODBINE AVE,4,38,88,2,0,3,2,1970,88.4402489626556
1987,751 WOODBINE AVE,5,97,81,2,3,3,2,1980,89.2235294117647
1970,1017 WOODBINE AVE,6,59,68,0,3,3,2,1970,88.4402489626556
1915,279 WOODFIELD RD,4,42,90,0,0,3,3,1910,84.04166666666667
1986,22 WOODLAWN AVE E,5,25,89,2,3,3,2,1980,89.2235294117647
1954,131 WOODWARD AVE,3,10,93,2,0,3,3,1950,86.53728070175438
1955,135 WOODWARD AVE,3,10,95,3,0,3,3,1950,86.53728070175438
1954,141 WOODWARD AVE,3,11,70,2,0,3,3,1950,86.53728070175438
1953,145 WOODWARD AVE,3,11,70,2,0,3,3,1950,86.53728070175438
1968,190 WOOLNER AVE,16,304,90,2,3,3,1,1960,87.9720394736842
1968,210 WOOLNER AVE,9,188,81,2,3,2,2,1960,87.9720394736842
1960,230 WOOLNER AVE,9,130,83,2,3,2,2,1960,87.9720394736842
1930,210 WYCHWOOD AVE,4,40,86,0,0,3,2,1930,84.36363636363636
1960,2 WYCOMBE RD,3,40,91,3,3,3,2,1960,87.9720394736842
1960,10 WYCOMBE RD,3,40,90,3,3,2,2,1960,87.9720394736842
1976,35 WYNFORD HEIGHTS CRES,25,217,95,2,3,3,3,1970,88.4402489626556
1969,55 WYNFORD HEIGHTS CRES,21,344,96,2,3,3,3,1960,87.9720394736842
1980,1233 YONGE ST,4,37,55,1,0,2,1,1980,89.2235294117647
1996,1920 YONGE ST,7,102,89,2,3,2,3,1990,88.76712328767124
1930,2094 YONGE ST,3,10,70,0,0,2,2,1930,84.36363636363636
1987,2567 YONGE ST,6,105,83,2,3,3,2,1980,89.2235294117647
1940,2674 YONGE ST,3,31,67,0,0,3,3,1940,83.27777777777777
1960,2707 YONGE ST,4,48,74,0,0,3,1,1960,87.9720394736842
1954,2730 YONGE ST,7,63,91,3,3,2,3,1950,86.53728070175438
1930,2837 YONGE ST,6,67,89,2,3,3,3,1930,84.36363636363636
1960,2875 YONGE ST,4,18,88,0,0,3,2,1960,87.9720394736842
1929,2914 YONGE ST,5,46,98,2,3,3,3,1920,83.97142857142858
1955,3000 YONGE ST,12,272,85,2,3,2,2,1950,86.53728070175438
1957,3110 YONGE ST,4,41,84,1,3,2,3,1950,86.53728070175438
1911,1505 DUNDAS ST W,3,12,76,0,0,2,2,1910,84.04166666666667
1959,1525 DUNDAS ST W,6,106,82,2,3,2,2,1950,86.53728070175438
2016,1544 DUNDAS ST W,8,95,96,3,3,3,3,2010,96
1976,2360 DUNDAS ST W,29,638,94,3,3,3,2,1970,88.4402489626556
1992,2767 DUNDAS ST W,6,21,86,2,3,3,1,1990,88.76712328767124
1960,2861-2863 DUNDAS ST W,3,16,80,0,0,1,3,1960,87.9720394736842
1990,4049 DUNDAS ST W,12,208,91,2,3,3,3,1990,88.76712328767124
1950,4750 DUNDAS ST W,4,14,97,3,0,3,3,1950,86.53728070175438
1950,4752 DUNDAS ST W,4,14,96,3,0,3,3,1950,86.53728070175438
1950,4754 DUNDAS ST W,4,14,96,3,0,3,3,1950,86.53728070175438
1968,4875 DUNDAS ST W,10,56,98,2,3,3,3,1960,87.9720394736842
1962,5005 DUNDAS ST W,19,255,82,2,3,3,1,1960,87.9720394736842
1960,5294 DUNDAS ST W,7,45,83,2,3,3,2,1960,87.9720394736842
1963,44 DUNFIELD AVE,15,162,92,0,3,3,2,1960,87.9720394736842
1966,45 DUNFIELD AVE,30,575,98,3,3,3,3,1960,87.9720394736842
1931,131 DUNN AVE,3,29,85,0,0,2,2,1930,84.36363636363636
1900,487 DUPLEX AVE,3,36,78,2,0,2,1,1900,81.1875
1974,500 DUPLEX AVE,33,319,87,3,3,2,3,1970,88.4402489626556
2021,740 DUPONT ST,9,210,98,3,3,3,3,2020,98.76923076923077
2006,1401 DUPONT ST,6,171,70,1,0,2,3,2000,91.13793103448276
1992,17 DURNFORD RD,3,14,95,3,0,3,3,1990,88.76712328767124
1992,21 DURNFORD RD,4,21,91,1,3,2,3,1990,88.76712328767124
1992,23 DURNFORD RD,3,14,92,2,0,2,3,1990,88.76712328767124
1992,35 DURNFORD RD,4,21,95,2,3,3,3,1990,88.76712328767124
1992,37 DURNFORD RD,4,28,89,2,3,2,3,1990,88.76712328767124
1992,39 DURNFORD RD,3,14,93,2,0,2,3,1990,88.76712328767124
1918,125 EARL PL,4,15,94,0,0,3,3,1910,84.04166666666667
1980,90 ADELAIDE ST E,8,60,98,3,3,3,3,1980,89.2235294117647
2009,501 ADELAIDE ST E,13,180,89,1,3,3,3,2000,91.13793103448276
2005,552 ADELAIDE ST W,5,84,94,3,3,3,3,2000,91.13793103448276
1967,5 AGATE RD,11,118,70,2,3,2,2,1960,87.9720394736842
1993,339 ALBANY AVE,4,42,91,3,3,3,2,1990,88.76712328767124
1950,26 ALBERT AVE,3,23,94,3,0,3,2,1950,86.53728070175438
1963,40 ALEXANDER ST,19,244,97,3,3,3,3,1960,87.9720394736842
1963,50 ALEXANDER ST,29,217,99,3,3,3,3,1960,87.9720394736842
1968,100 ALEXANDER ST,12,96,72,1,3,3,1,1960,87.9720394736842
1966,10 ALLANHURST DR,11,108,96,2,3,3,3,1960,87.9720394736842
1960,8 ANGLESEY BLVD,4,23,94,2,0,2,3,1960,87.9720394736842
1953,12 ANGLESEY BLVD,3,38,81,2,0,2,3,1950,86.53728070175438
1943,18 ANGLESEY BLVD,4,25,87,2,0,2,3,1940,83.27777777777777
1950,17 ANTHONY RD,3,11,89,2,0,3,3,1950,86.53728070175438
1979,300 ANTIBES DR,21,372,90,1,3,3,3,1970,88.4402489626556
1971,11 ANTRIM CRES,12,167,99,3,3,3,3,1970,88.4402489626556
1972,30 ANTRIM CRES,10,135,96,3,3,3,3,1970,88.4402489626556
1974,41 ANTRIM CRES,14,192,97,3,3,3,3,1970,88.4402489626556
1972,7 ARLETA AVE,4,201,84,2,3,2,2,1970,88.4402489626556
1953,16 ARROWSMITH AVE,3,11,94,2,0,2,3,1950,86.53728070175438
1984,40 ASQUITH AVE,17,192,90,2,3,3,2,1980,89.2235294117647
1968,91 AUGUSTA AVE,14,257,90,2,3,2,3,1960,87.9720394736842
1974,20 AURORA CRT,14,175,93,3,3,3,3,1970,88.4402489626556
1974,30 AURORA CRT,13,167,98,2,3,3,3,1970,88.4402489626556
1974,40 AURORA CRT,13,167,90,1,3,3,3,1970,88.4402489626556
1974,50 AURORA CRT,14,175,92,1,3,3,3,1970,88.4402489626556
1959,103 AVENUE RD,11,124,89,3,3,3,3,1950,86.53728070175438
1925,326 AVENUE RD,3,18,91,0,0,3,3,1920,83.97142857142858
1931,394 AVENUE RD,6,41,96,3,3,3,3,1930,84.36363636363636
1952,565 AVENUE RD,12,63,86,2,3,3,2,1950,86.53728070175438
1955,567 AVENUE RD,11,63,78,2,3,3,2,1950,86.53728070175438
1952,755 AVENUE RD,4,41,91,2,3,3,3,1950,86.53728070175438
1948,869 AVENUE RD,3,10,94,2,0,2,3,1940,83.27777777777777
1952,873 AVENUE RD,4,10,85,2,0,3,2,1950,86.53728070175438
1950,875 AVENUE RD,3,10,85,2,0,2,2,1950,86.53728070175438
1960,901 AVENUE RD,3,10,87,2,0,3,3,1960,87.9720394736842
1960,1106 AVENUE RD,4,22,96,2,0,3,3,1960,87.9720394736842
1961,1112 AVENUE RD,4,13,90,2,0,2,3,1960,87.9720394736842
1950,2177 AVENUE RD,4,68,97,3,3,3,3,1950,86.53728070175438
1969,2200 AVENUE RD,16,152,96,3,3,3,3,1960,87.9720394736842
1927,69 BALDWIN ST,3,17,77,0,0,3,3,1920,83.97142857142858
1966,45 BALLIOL ST,18,263,100,3,3,3,3,1960,87.9720394736842
2017,118 BALLIOL ST,30,342,100,3,3,3,3,2010,96
1965,155 BALLIOL ST,18,286,97,3,3,3,3,1960,87.9720394736842
1968,165 BALLIOL ST,4,48,92,2,3,3,3,1960,87.9720394736842
1968,200 BALLIOL ST,23,366,99,3,3,3,2,1960,87.9720394736842
1930,28 BALMORAL AVE,3,27,93,0,0,3,3,1930,84.36363636363636
1965,160 BALMORAL AVE,12,89,92,2,3,3,2,1960,87.9720394736842
1968,114 BARRINGTON AVE,3,12,75,2,0,2,2,1960,87.9720394736842
1960,156 BARRINGTON AVE,3,12,75,2,0,2,2,1960,87.9720394736842
1950,76 BARTLEY DR,3,10,90,1,0,3,3,1950,86.53728070175438
1962,80 BARTLEY DR,3,10,71,3,0,3,3,1960,87.9720394736842
1919,38 BARTON AVE,4,18,72,3,0,3,2,1910,84.04166666666667
1956,2 BASKING RIDGE,4,24,81,2,0,2,2,1950,86.53728070175438
1960,15 BATER AVE,3,34,78,1,0,3,1,1960,87.9720394736842
1918,1383 BATHURST ST,3,30,90,0,0,3,3,1910,84.04166666666667
1993,1400 BATHURST ST,5,113,92,3,3,3,1,1990,88.76712328767124
1916,1435 BATHURST ST,4,15,79,0,0,2,1,1910,84.04166666666667
1933,1510 BATHURST ST,4,24,83,2,0,3,2,1930,84.36363636363636
1959,1516 BATHURST ST,6,42,93,0,0,3,3,1950,86.53728070175438
1932,1520 BATHURST ST,4,24,92,0,0,3,3,1930,84.36363636363636
1932,1524 BATHURST ST,4,24,84,0,0,3,3,1930,84.36363636363636
1943,1531 BATHURST ST,4,32,83,3,0,1,3,1940,83.27777777777777
1940,1550 BATHURST ST,5,25,80,0,0,2,2,1940,83.27777777777777
1926,1554 BATHURST ST,4,36,90,0,0,3,3,1920,83.97142857142858
1926,1570 BATHURST ST,4,36,89,2,0,3,3,1920,83.97142857142858
1950,1582 BATHURST ST,3,33,72,0,0,2,2,1950,86.53728070175438
1948,1594 BATHURST ST,3,22,88,2,0,3,3,1940,83.27777777777777
1960,1596-1598 BATHURST ST,5,62,92,1,3,3,3,1960,87.9720394736842
1939,1600 BATHURST ST,4,34,86,3,0,2,3,1930,84.36363636363636
1954,1603 BATHURST ST,6,73,83,3,3,3,3,1950,86.53728070175438
1950,1654 BATHURST ST,5,72,93,2,3,3,3,1950,86.53728070175438
1941,1660 BATHURST ST,3,52,86,2,0,3,2,1940,83.27777777777777
1964,2121 BATHURST ST,11,210,89,1,3,2,3,1960,87.9720394736842
1953,2601 BATHURST ST,6,62,83,2,3,2,1,1950,86.53728070175438
1983,3174 BATHURST ST,12,181,98,3,3,3,3,1980,89.2235294117647
1960,3240 BATHURST ST,3,28,96,2,0,3,3,1960,87.9720394736842
1955,3253 BATHURST ST,4,22,94,3,0,3,3,1950,86.53728070175438
1955,3255 BATHURST ST,4,22,92,3,0,3,3,1950,86.53728070175438
1965,3311 BATHURST ST,9,102,94,3,3,3,3,1960,87.9720394736842
1958,3388 BATHURST ST,4,34,97,3,0,3,3,1950,86.53728070175438
1960,3635 BATHURST ST,4,19,87,2,3,3,3,1960,87.9720394736842
1958,3638 BATHURST ST,7,48,97,2,3,3,3,1950,86.53728070175438
1964,3690 BATHURST ST,7,47,79,2,3,2,1,1960,87.9720394736842
2005,3810 BATHURST ST,6,84,98,3,3,3,3,2000,91.13793103448276
1960,3880 BATHURST ST,4,58,92,2,3,3,3,1960,87.9720394736842
1960,3884 BATHURST ST,4,28,89,2,0,3,3,1960,87.9720394736842
1958,3888 BATHURST ST,3,31,95,2,3,3,3,1950,86.53728070175438
1958,3894 BATHURST ST,4,29,94,2,3,3,2,1950,86.53728070175438
1950,4085 BATHURST ST,3,10,90,2,0,3,3,1950,86.53728070175438
1958,4087 BATHURST ST,3,11,76,2,0,2,2,1950,86.53728070175438
1964,4160 BATHURST ST,7,67,72,1,3,2,2,1960,87.9720394736842
1966,4190 BATHURST ST,9,80,90,3,3,3,2,1960,87.9720394736842
1983,4266 BATHURST ST,9,130,89,3,3,2,3,1980,89.2235294117647
1989,4300 BATHURST ST,11,164,91,3,3,3,3,1980,89.2235294117647
1962,4415 BATHURST ST,14,167,96,3,3,3,3,1960,87.9720394736842
1961,4854 BATHURST ST,6,71,90,2,3,2,2,1960,87.9720394736842
1963,4866 BATHURST ST,10,81,93,1,3,3,2,1960,87.9720394736842
1968,4918 BATHURST ST,6,60,79,3,3,3,3,1960,87.9720394736842
1959,4981 BATHURST ST,6,96,96,2,3,3,3,1950,86.53728070175438
1964,6000 BATHURST ST,12,108,95,3,3,3,3,1960,87.9720394736842
1969,6010 BATHURST ST,12,120,90,2,3,3,2,1960,87.9720394736842
1967,6020 BATHURST ST,11,149,95,2,3,3,3,1960,87.9720394736842
1970,6040 BATHURST ST,17,202,92,1,3,3,3,1970,88.4402489626556
1960,6161 BATHURST ST,13,170,90,3,3,3,3,1960,87.9720394736842
1972,6250 BATHURST ST,14,389,88,2,3,2,2,1970,88.4402489626556
1965,1291 BAYVIEW AVE,6,69,96,2,3,3,3,1960,87.9720394736842
1953,1295 BAYVIEW AVE,4,19,96,1,0,3,3,1950,86.53728070175438
1950,1315 BAYVIEW AVE,3,38,85,2,0,3,2,1950,86.53728070175438
2006,1425 BAYVIEW AVE,4,14,99,3,3,3,3,2000,91.13793103448276
1960,1741 BAYVIEW AVE,3,26,74,1,0,3,1,1960,87.9720394736842
1965,1903 BAYVIEW AVE,5,27,93,1,3,3,3,1960,87.9720394736842
1971,4003 BAYVIEW AVE,12,172,97,2,3,3,3,1970,88.4402489626556
1932,10 BEACONSFIELD AVE,4,11,90,0,0,2,3,1930,84.36363636363636
1960,15 BEDFORD PARK AVE,3,39,95,3,0,3,3,1960,87.9720394736842
2003,151 BEECROFT RD,27,306,99,3,3,3,3,2000,91.13793103448276
1964,123 BELLAMY RD N,12,250,77,3,3,3,2,1960,87.9720394736842
1885,87 BELLEVUE AVE,3,28,92,0,3,3,2,1880,91
1971,5 BELLEVUE CRES,22,326,76,2,3,1,1,1970,88.4402489626556
1960,5 BENLAMOND AVE,5,55,88,2,0,3,2,1960,87.9720394736842
1960,11 BERGAMOT AVE,7,130,90,2,3,3,3,1960,87.9720394736842
1960,25 BERGAMOT AVE,4,73,91,2,0,3,3,1960,87.9720394736842
1960,27 BERGAMOT AVE,7,130,90,2,3,3,3,1960,87.9720394736842
2013,132 BERKELEY ST,10,177,99,3,3,3,3,2010,96
1954,136 BERRY RD,4,22,84,2,0,3,3,1950,86.53728070175438
1952,162 BERRY RD,4,39,93,3,0,3,2,1950,86.53728070175438
1952,164 BERRY RD,3,27,82,3,0,3,3,1950,86.53728070175438
1956,170 BERRY RD,4,22,95,2,0,3,3,1950,86.53728070175438
1954,172 BERRY RD,4,32,94,3,3,2,3,1950,86.53728070175438
1965,177 BERRY RD,4,23,94,3,0,3,3,1960,87.9720394736842
1954,187 BERRY RD,4,30,86,3,0,2,2,1950,86.53728070175438
1959,3 BEXHILL CRT,4,14,94,2,0,3,2,1950,86.53728070175438
1952,5 BEXHILL CRT,4,13,92,3,0,3,3,1950,86.53728070175438
1952,6 BEXHILL CRT,4,13,94,3,0,3,3,1950,86.53728070175438
1952,10 BEXHILL CRT,4,13,89,2,0,3,3,1950,86.53728070175438
1952,14 BEXHILL CRT,4,14,93,2,0,3,3,1950,86.53728070175438
1959,12 BIDEFORD AVE,4,56,95,1,3,3,3,1950,86.53728070175438
1955,1 BIGGIN CRT,4,48,95,3,3,3,3,1950,86.53728070175438
1955,3 BIGGIN CRT,4,52,92,2,3,3,3,1950,86.53728070175438
1955,5 BIGGIN CRT,4,65,96,3,3,3,3,1950,86.53728070175438
1955,1 BIRCHLEA AVE,3,10,94,2,0,3,3,1950,86.53728070175438
1955,1 A BIRCHLEA AVE,3,21,65,2,0,2,2,1950,86.53728070175438
1955,5 BIRCHLEA AVE,3,13,82,2,0,2,2,1950,86.53728070175438
1955,7 BIRCHLEA AVE,3,13,92,3,0,2,3,1950,86.53728070175438
1960,536 BIRCHMOUNT RD,3,28,92,3,0,2,3,1960,87.9720394736842
1960,540 BIRCHMOUNT RD,4,27,89,2,0,2,2,1960,87.9720394736842
1969,544 BIRCHMOUNT RD,11,131,95,3,3,2,2,1960,87.9720394736842
1974,552 BIRCHMOUNT RD,7,61,91,2,3,2,3,1970,88.4402489626556
1960,568 BIRCHMOUNT RD,7,61,90,2,3,3,3,1960,87.9720394736842
1963,739 BIRCHMOUNT RD,9,124,96,1,3,2,3,1960,87.9720394736842
1961,829 BIRCHMOUNT RD,6,65,84,2,3,2,2,1960,87.9720394736842
1992,835-841 BIRCHMOUNT RD,6,102,92,2,3,2,1,1990,88.76712328767124
1972,1021 BIRCHMOUNT RD,11,236,88,3,3,3,2,1970,88.4402489626556
1960,1477 BIRCHMOUNT RD,3,21,90,3,0,3,3,1960,87.9720394736842
1956,1525 BIRCHMOUNT RD,4,52,92,3,0,3,1,1950,86.53728070175438
1950,1555 BIRCHMOUNT RD,6,46,71,1,3,3,1,1950,86.53728070175438
1971,2360 BIRCHMOUNT RD,13,186,89,2,3,3,3,1970,88.4402489626556
1965,10 BLACKFRIAR AVE,5,61,93,2,3,3,3,1960,87.9720394736842
1962,80 BLACKFRIAR AVE,3,47,88,2,0,3,3,1960,87.9720394736842
1980,55 BLEECKER ST,14,260,91,2,3,3,3,1980,89.2235294117647
1969,275 BLEECKER ST,21,301,85,2,3,3,3,1960,87.9720394736842
1969,325 BLEECKER ST,24,327,94,3,3,3,2,1960,87.9720394736842
1948,451 BLOOR ST E,6,41,98,3,3,3,3,1940,83.27777777777777
1980,341 BLOOR ST W,18,326,93,2,3,3,2,1980,89.2235294117647
1970,360 BLOOR ST W,16,170,82,3,3,3,2,1970,88.4402489626556
1989,805 BLOOR ST W,4,24,83,0,3,3,1,1980,89.2235294117647
1926,1121 BLOOR ST W,4,11,75,2,0,2,2,1920,83.97142857142858
1923,1212 BLOOR ST W,3,16,72,0,0,2,2,1920,83.97142857142858
1930,1585 BLOOR ST W,3,48,84,0,0,3,3,1930,84.36363636363636
1992,1624 BLOOR ST W,6,94,87,2,3,3,2,1990,88.76712328767124
1982,1700 BLOOR ST W,9,115,92,2,3,3,3,1980,89.2235294117647
1992,1709 BLOOR ST W,6,80,100,3,3,3,3,1990,88.76712328767124
1924,1778 BLOOR ST W,3,21,67,0,0,2,2,1920,83.97142857142858
1914,1920 BLOOR ST W,3,16,78,1,0,2,3,1910,84.04166666666667
1929,2010 BLOOR ST W,3,24,79,0,0,3,2,1920,83.97142857142858
1920,2407 BLOOR ST W,3,12,93,3,0,3,3,1920,83.97142857142858
1952,2649 BLOOR ST W,4,48,87,2,3,3,3,1950,86.53728070175438
1940,2655 BLOOR ST W,5,45,80,2,0,2,3,1940,83.27777777777777
1960,2675 BLOOR ST W,3,14,94,3,0,3,3,1960,87.9720394736842
1949,2690 BLOOR ST W,4,18,87,3,0,2,3,1940,83.27777777777777
1957,2696 BLOOR ST W,3,15,87,3,0,3,3,1950,86.53728070175438
1955,2846 BLOOR ST W,4,16,94,3,0,3,2,1950,86.53728070175438
1967,325 BOGERT AVE,6,416,67,1,3,3,1,1960,87.9720394736842
1987,153 BORDEN ST,3,45,76,2,0,2,2,1980,89.2235294117647
